,points,detector-time,focused,descriptor-time,matches,matching-time
,1810,0.581043,150,20.9362,99,0.016698
,1817,0.547295,155,20.8544,91,0.016416
,1793,0.570064,149,20.6468,98,0.016584
,1796,0.608354,149,21.0911,85,0.014168
,1788,0.541878,156,21.0608,99,0.016448
,1695,0.569158,150,20.8882,102,0.015724
,1749,0.573785,138,21.0922,101,0.008273
,1770,0.548339,143,20.9921,105,0.01583
,,,,,,
BRISK-FREAK,2711.6,179.0855,271.3,21.8382,166.1111111,0.023288333
,2757,176.521,254,22.2162,,
,2777,175.793,274,21.8993,154,0.023564
,2741,177.813,276,22.0919,173,0.024879
,2735,175.999,275,21.7827,153,0.022151
,2757,179.102,293,22.5356,168,0.019908
,2695,180.45,275,21.5919,158,0.025187
,2715,181.911,289,21.6404,181,0.022168
,2628,188.789,268,21.644,169,0.021517
,2639,179.546,259,21.4453,174,0.025361
,2672,174.931,250,21.5347,165,0.02486
,,,,,,
ORB-FREAK,500,19.130445,115,20.86147,46.22222222,0.006671444
,500,149.062,91,21.8186,,
,500,4.67846,102,21.2244,41,0.005209
,500,4.72362,106,20.8338,36,0.007391
,500,4.77104,113,20.6,44,0.006361
,500,4.52817,109,20.3592,47,0.005666
,500,4.62443,124,20.9883,44,0.006794
,500,4.6369,129,21.0484,51,0.007753
,500,4.83058,127,20.5063,52,0.005726
,500,4.7666,124,20.744,47,0.006454
,500,4.68265,125,20.4917,54,0.008689
,,,,,,
SIFT-FREAK,1386,55.68525,137.2,21.54496,65.55555556,0.012520444
,1437,53.9439,137,21.4136,,
,1371,54.5533,131,21.5616,64,0.011135
,1381,52.9304,121,20.8579,70,0.013002
,1336,55.4187,136,21.3126,63,0.010503
,1303,59.6305,134,21.2948,66,0.014168
,1370,56.178,139,21.792,59,0.010703
,1396,54.9878,136,21.1735,60,0.008461
,1382,56.998,147,21.1584,64,0.012761
,1462,56.6992,156,23.0123,65,0.017586
,1422,55.5127,135,21.8729,79,0.014365
,,,,,,
AKAZE-FREAK,1342.9,36.47169,165.5,23.29512,131,0.016308
,1351,35.4799,162,23.0128,,
,1327,40.7052,157,22.8591,123,0.013139
,1311,38.2325,159,23.0223,128,0.014336
,1351,36.0953,154,23.0008,128,0.011602
,1360,36.9581,162,23.4076,121,0.016395
,1347,37.8481,163,22.8531,122,0.009324
,1363,34.8413,173,22.9925,133,0.021485
,1331,33.19,175,22.8782,144,0.022451
,1357,35.3687,175,25.4238,145,0.015813
,1331,35.9978,175,23.501,135,0.022227
,,,,,,
Shi-Tomasi-ORB,1342.3,9.695118,117.9,0.8427468,100.8888889,0.012428889
,1370,11.036,125,0.945874,,
,1301,10.2261,118,0.825807,106,0.012007
,1361,9.48156,123,0.917309,102,0.009958
,1358,9.45427,120,0.792556,99,0.010773
,1333,9.5722,120,0.898665,102,0.010436
,1284,10.3728,113,0.845662,103,0.013637
,1322,9.12408,114,0.796214,97,0.012219
,1366,8.06166,123,0.793554,98,0.013988
,1389,9.89582,111,0.818811,104,0.014479
,1339,9.72669,112,0.793016,97,0.014363
,,,,,,
HARRIS-ORB,173.7,9.431086,24.8,0.694767,18,0.004889222
,115,9.63751,17,0.680595,,
,98,7.85063,14,0.676034,12,0.004659
,113,7.80076,18,0.685164,12,0.002366
,121,7.78901,21,0.719267,15,0.004385
,160,8.41715,26,0.672587,18,0.005356
,383,16.2754,43,0.733541,24,0.005532
,85,7.72584,18,0.716028,20,0.006409
,210,9.11905,31,0.693152,15,0.004006
,171,8.25351,26,0.671602,24,0.005809
,281,11.442,34,0.6997,22,0.005481
,,,,,,
FAST-ORB,1787.4,0.6141361,149.1,0.8599545,119,0.015713778
,1824,0.613162,149,0.833392,,
,1832,0.618574,152,0.862616,118,0.016649
,1810,0.604995,150,0.855162,123,0.016373
,1817,0.638619,155,0.88795,112,0.008654
,1793,0.62104,149,0.808851,126,0.015836
,1796,0.61737,149,0.875457,106,0.016471
,1788,0.614,156,0.882693,122,0.017408
,1695,0.612235,150,0.873364,122,0.017168
,1749,0.61386,138,0.84514,123,0.016687
,1770,0.587506,143,0.87492,119,0.016178
,,,,,,
BRISK-ORB,2711.6,177.9246,271.3,3.117147,164.3333333,0.023696778
,2757,179.056,254,2.93071,,
,2777,179.413,274,3.31139,155,0.02137
,2741,178.038,276,2.9089,167,0.025453
,2735,177.243,275,3.0973,155,0.026449
,2757,178.366,293,3.45324,161,0.024645
,2695,176.817,275,3.12422,156,0.026032
,2715,176.688,289,3.26644,181,0.013608
,2628,177.966,268,2.97854,165,0.025201
,2639,176.904,259,3.01476,169,0.026613
,2672,178.755,250,3.08597,170,0.0239
,,,,,,
ORB-ORB,500,14.711252,115,3.309367,83.88888889,0.014247222
,500,101.741,91,3.48,,
,500,4.87369,102,3.19912,67,0.013403
,500,5.01982,106,3.26345,70,0.0135
,500,5.04048,113,3.20319,72,0.015525
,500,5.13612,109,3.21129,84,0.015461
,500,4.99663,124,3.29365,91,0.014861
,500,5.08733,129,3.30961,99,0.013099
,500,5.02623,127,3.32742,91,0.015845
,500,5.08322,124,3.27839,91,0.01571
,500,5.108,125,3.52755,90,0.010821
,,,,,,
Shi-Tomasi-SIFT,1342.3,9.759497,117.9,10.78964,103.1111111,0.008071222
,1370,11.2314,125,10.9657,,
,1301,9.7262,118,10.4448,112,0.008305
,1361,9.35972,123,10.6717,109,0.008206
,1358,9.65981,120,10.6972,104,0.008007
,1333,9.59071,120,10.5229,103,0.008229
,1284,9.50962,113,11.1086,100,0.008099
,1322,9.44398,114,11.0508,101,0.007758
,1366,10.1714,123,10.6696,96,0.007803
,1389,9.2783,111,11.0334,106,0.008123
,1339,9.62383,112,10.7317,97,0.008111
,,,,,,
HARRIS-SIFT,173.7,10.988067,24.8,10.85578,18.11111111,0.003352
,115,9.62082,17,10.4681,,
,98,9.90857,14,10.4219,14,0.003174
,113,9.31966,18,10.641,11,0.002731
,121,10.2224,21,10.603,16,0.002829
,160,9.69042,26,12.3659,19,0.003237
,383,17.8884,43,10.9006,22,0.003356
,85,9.3099,18,10.474,22,0.004089
,210,10.527,31,10.4787,13,0.002775
,171,10.2651,26,11.9465,24,0.004711
,281,13.1284,34,10.2581,22,0.003266
,,,,,,
FAST-SIFT,1787.4,0.5654705,149.1,11.13085,116.2222222,0.009493
,1824,0.577745,149,10.4379,,
,1832,0.552627,152,10.7306,118,0.008963
,1810,0.550762,150,11.0809,123,0.008664
,1817,0.549642,155,11.3677,110,0.009073
,1793,0.54435,149,11.4714,119,0.009103
,1796,0.544616,149,11.0861,114,0.010729
,1788,0.567562,156,11.4906,119,0.008925
,1695,0.635827,150,11.0075,123,0.012159
,1749,0.558647,138,11.5091,117,0.009193
,1770,0.572927,143,11.1267,103,0.008628
,,,,,,
BRISK-SIFT,2711.6,174.9046,271.3,14.95013,181.2222222,0.014543
,2757,175.047,254,17.3388,,
,2777,173.949,274,13.4444,181,0.014243
,2741,176.11,276,14.1941,188,0.013086
,2735,174.649,275,15.6031,172,0.013961
,2757,175.633,293,14.4734,178,0.012979
,2695,175.148,275,17.2533,168,0.014619
,2715,174.46,289,14.4013,191,0.013293
,2628,176.06,268,13.7223,195,0.021739
,2639,174.172,259,14.2959,176,0.013433
,2672,173.818,250,14.7747,182,0.013534
,,,,,,
ORB-SIFT,500,12.827007,115,17.5007,84.44444444,0.008825889
,500,81.382,91,18.2659,,
,500,4.8121,102,17.3709,67,0.007289
,500,5.1445,106,18.2237,79,0.007643
,500,4.75954,113,16.1547,79,0.008891
,500,4.95673,109,16.867,80,0.008389
,500,4.90224,124,17.0947,83,0.008552
,500,4.84943,129,17.9116,92,0.008352
,500,7.66422,127,17.4075,94,0.011997
,500,4.84245,124,17.2187,94,0.00953
,500,4.95686,125,18.4923,92,0.00879
,,,,,,
SIFT-SIFT,1386,56.90901,137.2,52.95541,88.22222222,0.008687111
,1437,56.0878,137,51.5428,,
,1371,56.4082,131,52.7628,81,0.008527
,1381,56.3623,121,54.4153,79,0.00814
,1336,57.1497,136,52.4593,84,0.007853
,1303,55.3755,134,52.1477,92,0.008623
,1370,57.0085,139,52.7775,90,0.008502
,1396,55.8808,136,52.1225,83,0.008587
,1382,60.1142,147,53.0144,83,0.008352
,1462,57.1971,156,54.5069,101,0.008521
,1422,57.506,135,53.8049,101,0.011079
,,,,,,
AKAZE-SIFT,1342.9,35.81431,165.5,12.79642,140.5555556,0.011873556
,1351,38.9356,162,13.9242,,
,1327,37.2427,157,13.3952,132,0.012232
,1311,36.0927,159,12.776,135,0.011609
,1351,33.5588,154,11.8887,129,0.011827
,1360,33.9523,162,12.7394,136,0.010931
,1347,36.8745,163,13.556,135,0.011495
,1363,37.3587,173,12.4791,147,0.012602
,1331,33.8311,175,13.1277,150,0.01198
,1357,34.2392,175,11.957,152,0.012181
,1331,36.0575,175,12.1209,149,0.012005
